Row ID,Order ID,Order Date,Month Year,Order Priority,Order Quantity,Sales,Customer Name,Province,Region,Product Category,Product Sub-Category,Product Name
406,2757,7/19/2011,07-01-2011,Critical,39,3554.46,Julia West,Nunavut,Nunavut,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs
413,2791,10-09-2009,10-01-2009,High,47,191.67,Eugene Barchas,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,Avery Binder Labels
414,2791,10-09-2009,10-01-2009,High,49,5586.33,Eugene Barchas,Nunavut,Nunavut,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs
415,2791,10-09-2009,10-01-2009,High,18,507.64,Eugene Barchas,Nunavut,Nunavut,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case"
440,2976,12-09-2010,12-01-2010,Not Specified,30,14223.82,Edward Hooks,Nunavut,Nunavut,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter
471,3232,10-08-2012,10-01-2012,Critical,5,42.66,Brad Eason,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal
513,3524,05-02-2012,05-01-2012,High,21,427.32,Nicole Hansen,Nunavut,Nunavut,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations
577,3908,03-08-2010,03-01-2010,Medium,8,820.284,Dorothy Wardle,Nunavut,Nunavut,Technology,Telephones and Communication,6160
606,4132,5/28/2011,05-01-2011,Not Specified,5,14.76,Aaron Bergman,Nunavut,Nunavut,Office Supplies,Labels,Avery 49
656,4612,9/19/2010,09-01-2010,Medium,9,89.55,Jim Radford,Nunavut,Nunavut,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum
669,4676,8/31/2011,08-01-2011,High,11,1210.0515,Annie Cyprus,Nunavut,Nunavut,Technology,Telephones and Communication,Timeport L7089
670,4676,8/31/2011,08-01-2011,High,50,187.83,Annie Cyprus,Nunavut,Nunavut,Office Supplies,Labels,Avery 510
671,4676,8/31/2011,08-01-2011,High,3,49.59,Annie Cyprus,Nunavut,Nunavut,Office Supplies,Paper,Xerox 1881
672,4676,8/31/2011,08-01-2011,High,30,4253.009,Annie Cyprus,Nunavut,Nunavut,Technology,Telephones and Communication,LX 788
734,5284,07-08-2011,07-01-2011,Not Specified,7,59.38,Annie Cyprus,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl"
735,5316,1/30/2009,01-01-2009,Critical,42,1285.37,Clay Rozendal,Nunavut,Nunavut,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack"
755,5409,01-08-2012,01-01-2012,Low,11,48.91,Don Jones,Nunavut,Nunavut,Office Supplies,Paper,Unpadded Memo Slips
769,5506,11-07-2010,11-01-2010,Critical,22,129.62,Beth Thompson,Nunavut,Nunavut,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages"
782,5569,4/29/2010,04-01-2010,Not Specified,12,118.97,Frank Price,Nunavut,Nunavut,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak"
786,5607,12/31/2011,12-01-2011,Not Specified,8,61.8715,Michelle Lonsdale,Nunavut,Nunavut,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID
817,5894,08-12-2009,08-01-2009,High,7,384.33,Ann Chong,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders
818,5894,08-12-2009,08-01-2009,High,3,239.03,Ann Chong,Nunavut,Nunavut,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector
821,5925,11-12-2011,11-01-2011,Low,44,3922.42,Joy Bell,Nunavut,Nunavut,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting"
822,5925,11-12-2011,11-01-2011,Low,25,1733.3625,Joy Bell,Nunavut,Nunavut,Technology,Telephones and Communication,Accessory4
839,6016,1/20/2012,01-01-2012,High,19,208.28,Skye Norling,Nunavut,Nunavut,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels
853,6116,3/20/2009,03-01-2009,Medium,6,9620.82,Barry Weirich,Nunavut,Nunavut,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener
863,6182,7/21/2012,07-01-2012,Low,40,255.48,Grant Carroll,Nunavut,Nunavut,Office Supplies,Paper,Xerox 1966
864,6182,7/21/2012,07-01-2012,Low,18,130.32,Grant Carroll,Nunavut,Nunavut,Office Supplies,Paper,Xerox 213
911,6535,06-12-2012,06-01-2012,Critical,11,312.36,Adrian Hane,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black"
950,6884,1/15/2009,01-01-2009,Low,41,217,Skye Norling,Nunavut,Nunavut,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)
951,6884,1/15/2009,01-01-2009,Low,47,296.13,Skye Norling,Nunavut,Nunavut,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
956,6916,06-04-2010,06-01-2010,Low,40,436.17,Andrew Gjertsen,Nunavut,Nunavut,Office Supplies,Storage & Organization,Crate-A-Files™
963,6980,2/18/2010,02-01-2010,Not Specified,18,136.29,Ralph Knight,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders"
964,6982,11/16/2011,11-01-2011,Not Specified,32,1311.25,Dorothy Wardle,Nunavut,Nunavut,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples"
965,6982,11/16/2011,11-01-2011,Not Specified,5,544.41,Dorothy Wardle,Nunavut,Nunavut,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled"
966,6982,11/16/2011,11-01-2011,Not Specified,41,844.09,Dorothy Wardle,Nunavut,Nunavut,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock
988,7110,08-07-2011,08-01-2011,Low,22,6396.2,Grant Carroll,Nunavut,Nunavut,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair
1017,7430,06-08-2010,06-01-2010,Medium,50,751.77,Barry Weirich,Nunavut,Nunavut,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2"
1073,7906,10/17/2009,10-01-2009,Medium,37,1003.06,Beth Paige,Nunavut,Nunavut,Office Supplies,Appliances,3M Office Air Cleaner
1154,8391,8/28/2011,08-01-2011,High,4,1266.72,Sylvia Foulston,Nunavut,Nunavut,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black"
1156,8419,9/29/2011,09-01-2011,Critical,19,368.04,Nicole Hansen,Nunavut,Nunavut,Office Supplies,Paper,Xerox 1936
1157,8419,9/29/2011,09-01-2011,Critical,24,152.6,Nicole Hansen,Nunavut,Nunavut,Office Supplies,Paper,Xerox 214
1205,8833,05-04-2012,05-01-2012,Low,40,3338.98,Nicole Hansen,Nunavut,Nunavut,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black
1226,8995,5/17/2011,05-01-2011,High,5,24.16,Beth Paige,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders
1227,8995,5/17/2011,05-01-2011,High,41,270.84,Beth Paige,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1904
1228,8995,5/17/2011,05-01-2011,High,35,3389.93,Beth Paige,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps
1229,8995,5/17/2011,05-01-2011,High,42,266.36,Beth Paige,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 217
1230,8995,5/17/2011,05-01-2011,High,46,89.41,Beth Paige,Northwest Territories,Northwest Territories,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere
1258,9126,11/17/2009,11-01-2009,Medium,47,2799.7,Sylvia Foulston,Northwest Territories,Northwest Territories,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets"
1259,9127,10-10-2011,10-01-2011,Not Specified,7,2039.56,Bryan Davis,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units"
1299,9509,10-07-2012,10-01-2012,Not Specified,36,12175.82,Joy Bell,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs
1300,9509,10-07-2012,10-01-2012,Not Specified,5,101.21,Joy Bell,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1887
1301,9509,10-07-2012,10-01-2012,Not Specified,32,1585.64,Joy Bell,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1891
1337,9763,8/13/2011,08-01-2011,Medium,44,176.26,Alan Barnes,Northwest Territories,Northwest Territories,Office Supplies,Labels,Avery 506
1370,9927,8/16/2011,08-01-2011,High,32,4655.07,Grant Carroll,Northwest Territories,Northwest Territories,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"
1371,9927,8/16/2011,08-01-2011,High,44,10087.6,Grant Carroll,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton"
1372,9927,8/16/2011,08-01-2011,High,34,1608.08,Grant Carroll,Northwest Territories,Northwest Territories,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard
1380,10022,03-04-2009,03-01-2009,Low,1,12.18,Delfina Latchford,Northwest Territories,Northwest Territories,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack"
1445,10437,8/18/2009,08-01-2009,Critical,50,820.52,Don Jones,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
1457,10499,11/16/2010,11-01-2010,Not Specified,29,6250.936,Doug Bickford,Northwest Territories,Northwest Territories,Furniture,Tables,Bevis Boat-Shaped Conference Table
1462,10535,5/27/2011,05-01-2011,Low,25,854.88,Doug Bickford,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame"
1463,10535,5/27/2011,05-01-2011,Low,46,80.27,Doug Bickford,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies,Newell 326
1495,10789,8/23/2010,08-01-2010,Not Specified,15,308.54,Jamie Kunitz,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set
1496,10791,8/19/2011,08-01-2011,Not Specified,20,400.57,Anthony Johnson,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox Blank Computer Paper
1513,10945,01-03-2012,01-01-2012,Medium,14,1170.025,Ralph Knight,Northwest Territories,Northwest Territories,Technology,Telephones and Communication,600 Series Flip
1544,11137,11/29/2012,11-01-2012,High,48,5188.86,Allen Rosenblatt,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers
1551,11202,3/17/2012,03-01-2012,Medium,8,339.81,Barry Weirich,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders
1589,11456,04-12-2010,04-01-2010,Low,15,1519.9,Doug Bickford,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting
1590,11460,8/24/2010,08-01-2010,High,30,102.24,Carl Jackson,Northwest Territories,Northwest Territories,Office Supplies,Labels,Avery 487
1594,11495,07-04-2011,07-01-2011,High,6,965.69,Brendan Dodson,Northwest Territories,Northwest Territories,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base
1654,11911,11-10-2010,11-01-2010,Critical,25,397.84,Edward Hooks,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black"
1655,11941,6/24/2010,06-01-2010,Critical,4,73.07,Jamie Kunitz,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,Hanging Personal Folder File
1656,11941,6/24/2010,06-01-2010,Critical,26,4679.1,Jamie Kunitz,Northwest Territories,Northwest Territories,Furniture,Tables,"Bevis Round Conference Table Top, X-Base"
1675,12096,9/19/2012,09-01-2012,Medium,46,8009.5925,Michelle Lonsdale,Northwest Territories,Northwest Territories,Technology,Telephones and Communication,5125
1676,12096,9/19/2012,09-01-2012,Medium,23,4689.66,Michelle Lonsdale,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp
1710,12289,12/24/2011,12-01-2011,Low,25,3019.41,Brendan Dodson,Northwest Territories,Northwest Territories,Technology,Office Machines,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator
1718,12352,3/23/2012,03-01-2012,Medium,5,36.86,Hunter Glantz,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings
1727,12419,10/15/2011,10-01-2011,Critical,12,22079.47,Sylvia Foulston,Northwest Territories,Northwest Territories,Technology,Office Machines,Polycom ViewStation™ Adapter H323 Videoconferencing Unit
1745,12485,08-07-2010,08-01-2010,Critical,24,5407.31,Eugene Barchas,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats,Hon GuestStacker Chair
1751,12544,03-03-2009,03-01-2009,Low,34,74.3,Jim Radford,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Eldon® Wave Desk Accessories
1770,12704,02-09-2010,02-01-2010,Low,44,21506.77,Carlos Soltero,Northwest Territories,Northwest Territories,Technology,Copiers and Fax,Sharp AL-1530CS Digital Copier
1771,12704,02-09-2010,02-01-2010,Low,28,669.02,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray"
1781,12771,1/17/2009,01-01-2009,Critical,40,1143.49,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White"
1782,12771,1/17/2009,01-01-2009,Critical,46,78.08,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies,Newell 323
1806,12929,8/30/2010,08-01-2010,Critical,19,5297.47,Jim Radford,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
1807,12929,8/30/2010,08-01-2010,Critical,20,95.3,Jim Radford,Northwest Territories,Northwest Territories,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams
1842,13280,09-11-2009,09-01-2009,High,40,460.68,Grant Carroll,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,Crate-A-Files™
1843,13280,09-11-2009,09-01-2009,High,49,318.7585,Grant Carroll,Northwest Territories,Northwest Territories,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID
1848,13313,7/16/2009,07-01-2009,Not Specified,47,1020.61,Skye Norling,Northwest Territories,Northwest Territories,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier
1855,13346,11/15/2012,11-01-2012,Low,44,268.34,Doug Bickford,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 224
1913,13702,09-10-2011,09-01-2011,Low,6,209,Grant Carroll,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1906
1928,13795,04-10-2011,04-01-2011,Not Specified,30,501.32,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11"""
1929,13795,04-10-2011,04-01-2011,Not Specified,23,275.16,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 188
1930,13795,04-10-2011,04-01-2011,Not Specified,37,1302.99,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1932
1978,14116,10-09-2011,10-01-2011,High,1,40.1,Doug Bickford,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,GBC Linen Binding Covers
1979,14116,10-09-2011,10-01-2011,High,42,1414.05,Doug Bickford,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,GBC Recycled Grain Textured Covers
2013,14372,10/23/2012,10-01-2012,Critical,34,5350.61,Beth Thompson,Northwest Territories,Northwest Territories,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish"
2058,14726,01-08-2012,01-01-2012,Low,15,310.87,Ralph Knight,Northwest Territories,Northwest Territories,Technology,Computer Peripherals,"Fellowes Basic 104-Key Keyboard, Platinum"
2070,14819,1/25/2010,01-01-2010,Not Specified,48,9062.73,Carl Jackson,Northwest Territories,Northwest Territories,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection
2071,14819,1/25/2010,01-01-2010,Not Specified,27,1584.1,Carl Jackson,Northwest Territories,Northwest Territories,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases
2114,15106,1/27/2011,01-01-2011,Not Specified,42,283.58,Dorothy Badders,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs
2115,15106,1/27/2011,01-01-2011,Not Specified,39,5403.37,Dorothy Badders,Northwest Territories,Northwest Territories,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer
2116,15106,1/27/2011,01-01-2011,Not Specified,35,82.15,Dorothy Badders,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies,Newell 327
2117,15108,8/27/2009,08-01-2009,High,50,2066.16,Delfina Latchford,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1893
2129,15205,3/17/2011,03-01-2011,Critical,18,4605.36,Julia West,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
2130,15205,3/17/2011,03-01-2011,Critical,42,1753.51,Julia West,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets
2161,15591,06-06-2012,06-01-2012,Critical,31,426.34,Brad Eason,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size"
2206,15907,04-11-2011,04-01-2011,High,36,1837.44,Thomas Seio,Northwest Territories,Northwest Territories,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases
2207,15907,04-11-2011,04-01-2011,High,36,3722.29,Thomas Seio,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped"
2208,15907,04-11-2011,04-01-2011,High,4,28.05,Thomas Seio,Northwest Territories,Northwest Territories,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page"
2209,15937,11-06-2012,11-01-2012,Low,32,311.44,Monica Federle,Northwest Territories,Northwest Territories,Technology,Computer Peripherals,"Memorex Slim 80 Minute CD-R, 10/Pack"
2210,15937,11-06-2012,11-01-2012,Low,17,215.65,Monica Federle,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Aluminum Document Frame
2221,16039,5/16/2012,05-01-2012,High,3,121.12,Michelle Lonsdale,Northwest Territories,Northwest Territories,Technology,Computer Peripherals,"Memorex 80 Minute CD-R Spindle, 100/Pack"
2246,16193,04-09-2012,04-01-2012,Not Specified,8,300.2,Frank Price,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins"
2247,16193,04-09-2012,04-01-2012,Not Specified,29,1364.8025,Frank Price,Northwest Territories,Northwest Territories,Technology,Telephones and Communication,Accessory36
2281,16423,08-05-2012,08-01-2012,Medium,19,128.21,Bryan Davis,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 20
2283,16451,7/22/2009,07-01-2009,Not Specified,9,252.79,Don Jones,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories,Surelock™ Post Binders
2294,16545,05-09-2010,05-01-2010,Not Specified,10,50.97,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies,Colorific® Watercolor Pencils
2295,16545,05-09-2010,05-01-2010,Not Specified,1,4.99,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,"Scissors, Rulers and Trimmers","*Staples* vLetter Openers, 2/Pack"
2296,16547,2/18/2009,02-01-2009,Not Specified,30,10554.63,Nicole Hansen,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms
2297,16547,2/18/2009,02-01-2009,Not Specified,8,1749.64,Nicole Hansen,Northwest Territories,Northwest Territories,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
2316,16706,6/27/2012,06-01-2012,High,47,1943.72,Beth Thompson,Northwest Territories,Northwest Territories,Furniture,Office Furnishings,Eldon Econocleat® Chair Mats for Low Pile Carpets
2317,16706,6/27/2012,06-01-2012,High,6,18.37,Beth Thompson,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies,Prang Drawing Pencil Set
2318,16706,6/27/2012,06-01-2012,High,49,6175.777,Beth Thompson,Northwest Territories,Northwest Territories,Technology,Telephones and Communication,T39m
2323,16741,9/30/2010,09-01-2010,Medium,6,157.97,Nicole Hansen,Northwest Territories,Northwest Territories,Office Supplies,Paper,Xerox 1982
